Sample_Number,Date_Collected,Storage_Solution,CollectionSite,Collection_Site_Location_Details,Brood_year,Year_Class,Oyster_Length_,Oyster_Depth,Weight_g,Size_Class,Tissue,,,,,,,
976,2017-06-05,95% Ethanol,BoundaryBay,,2010-2013,4-7 yr,12.2,,300,6,Mantle,,,,,,,
977,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
978,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
979,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
980,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
981,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
982,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
983,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
984,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
985,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
986,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
987,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
988,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
989,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
990,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
991,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
992,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
993,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1,1.5 cm,,0.5,1,Whole indiv,,,,,,,
994,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1,1.5 cm,,0.5,1,Whole indiv,,,,,,,
995,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1,1.5 cm,,0.5,1,Whole indiv,,,,,,,
996,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
997,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
998,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
999,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1001,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1002,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1003,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1004,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1005,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1006,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1007,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1008,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1009,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1010,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1011,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1012,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1013,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1014,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1015,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1016,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1017,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1018,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1019,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1020,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1021,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1022,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1023,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1024,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1025,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,3,Mantle,,,,,,,
1026,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,#N/A,Mantle,,,,,,,
1027,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,#N/A,Mantle,,,,,,,
1028,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2016,1 yr,5,,20,#N/A,Mantle,,,,,,,
1029,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1030,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1031,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1032,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1033,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1034,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1035,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1036,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1037,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1038,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1039,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1040,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1041,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1042,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1043,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1044,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1045,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1046,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1047,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1048,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1049,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1050,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1051,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1052,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1053,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1054,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1055,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1056,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1057,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1058,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1059,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1060,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1061,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1062,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1063,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1064,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1065,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1066,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1067,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1068,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1069,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1070,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1071,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1072,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1073,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1074,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1075,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1076,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,5,Mantle,,,,,,,
1077,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1078,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1079,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1080,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1081,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1082,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1083,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1084,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1085,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1086,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1087,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1088,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1089,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1090,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1091,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1092,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1093,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1094,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1095,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2014-2015,2-3 yr,9.5,,101,#N/A,Mantle,,,,,,,
1096,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2009-2011,5-8 yr,13.5,,270,#N/A,Mantle,,,,,,,
1097,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2009-2011,5-8 yr,13.5,,270,#N/A,Mantle,,,,,,,
1098,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2009-2011,5-8 yr,13.5,,270,#N/A,Mantle,,,,,,,
1099,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2009-2011,5-8 yr,13.5,,270,#N/A,Mantle,,,,,,,
1100,2017-06-02,95% Ethanol,Hisnit, Hisnit Inlet,2009-2011,5-8 yr,13.5,,270,#N/A,Mantle,,,,,,,
1101,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,Whole Animal,,,,,,,
1102,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1103,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1104,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1105,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1106,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1107,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1108,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1109,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1110,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1111,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1112,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1113,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1114,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1115,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1116,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1117,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1118,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1119,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1120,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1121,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1122,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1123,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1124,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1125,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1126,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1127,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1128,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1129,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1130,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1131,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1132,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1133,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1134,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1135,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1136,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1137,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1138,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1139,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1140,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1141,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1142,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1143,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1144,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1145,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1146,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1147,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1148,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1149,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1150,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1151,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1152,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1153,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1154,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1155,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1156,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1157,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1158,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1159,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1160,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1161,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1162,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1163,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1164,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1165,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1166,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1167,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1168,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1169,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1170,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1171,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1172,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1173,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1174,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1175,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1176,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1177,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1178,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1179,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1180,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1181,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1182,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1183,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1184,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1185,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1186,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
1187,2017-02-21,95% Ethanol,BaynesSound, Baynes Sound Reef,2016 (?),1,0.1-0.3,,,Spat,,,,,,,,
